Year_Make_Model,Vehicle Type,Base MSRP,Electric Range
2023 TOYOTA RAV4 PRIME (PHEV),PHEV,0.0,42.0
2023 VINFAST VF 8,BEV,0.0,0.0
2023 VOLKSWAGEN ID.4,BEV,0.0,0.0
2023 VOLVO C40,BEV,0.0,0.0
2023 VOLVO S60,PHEV,0.0,41.0
2023 VOLVO S90,PHEV,0.0,38.0
2023 VOLVO V60,PHEV,0.0,41.0
2023 VOLVO XC40,BEV,0.0,0.0
2023 VOLVO XC60,PHEV,0.0,35.0
2023 VOLVO XC90,PHEV,0.0,32.0
2024 ACURA ZDX,BEV,0.0,0.0
2024 ALFA ROMEO TONALE,PHEV,0.0,33.0
2024 AUDI E-TRON GT,BEV,0.0,0.0
2024 AUDI Q4,BEV,0.0,0.0
2024 AUDI Q5 E,PHEV,0.0,23.0
2024 AUDI Q8,BEV,0.0,0.0
2024 AUDI RS E-TRON GT,BEV,0.0,0.0
2024 AUDI SQ8,BEV,0.0,0.0
2024 BENTLEY BENTAYGA,PHEV,0.0,28.0
2024 BMW 330E,PHEV,0.0,20.0
2024 BMW 750E,PHEV,0.0,36.0
2024 BMW I4,BEV,0.0,0.0
2024 BMW I5,BEV,0.0,0.0
2024 BMW I7,BEV,0.0,0.0
2024 BMW IX,BEV,0.0,0.0
2024 BMW X5,PHEV,0.0,39.0
2024 BMW XM,PHEV,0.0,31.0
2024 BRIGHTDROP ZEVO,BEV,0.0,0.0
2024 CADILLAC LYRIQ,BEV,0.0,0.0
2024 CHEVROLET BLAZER,BEV,0.0,0.0
2024 CHEVROLET EQUINOX,BEV,0.0,0.0
2024 CHEVROLET SILVERADO,BEV,0.0,0.0
2024 CHRYSLER PACIFICA,PHEV,0.0,32.0
2024 DODGE CHARGER,BEV,0.0,0.0
2024 DODGE HORNET,PHEV,0.0,32.0
2024 FIAT 500E,BEV,0.0,0.0
2024 FORD ESCAPE,PHEV,0.0,37.0
2024 FORD F-150,BEV,0.0,0.0
2024 FORD MUSTANG MACH-E,BEV,0.0,0.0
2024 FORD TRANSIT,BEV,0.0,0.0
2024 GENESIS G80,BEV,0.0,0.0
2024 GENESIS GV60,BEV,0.0,0.0
2024 GENESIS GV70,BEV,0.0,0.0
2024 GMC HUMMER EV PICKUP,BEV,0.0,0.0
2024 GMC HUMMER EV SUV,BEV,0.0,0.0
2024 HONDA PROLOGUE,BEV,0.0,0.0
