Model,Base Price,EPA range (miles),Dest. Charge,Tax Credit,Effective Price
2024 Lexus RZ 450e Premium AWD,"$58,700 ",220,"$1,175 ",$0 ,"$59,875 "
2024 Ford E-Transit Cargo Van,"$57,935 ",159,"$2,095 ",$0 ,"$60,030 "
2024 Cadillac Lyriq Luxury 1 AWD,"$66,190 ",307,"$1,395 ","$7,500 ","$60,085 "
2024 Volvo EX40 (XC40 Recharge) Ultimate RWD,"$58,800 ",293,"$1,295 ",$0 ,"$60,095 "
2024 Volvo EC40 (C40 Recharge) Ultimate RWD,"$58,800 ",297,"$1,295 ",$0 ,"$60,095 "
2024 Cadillac Lyriq Sport 1 AWD,"$66,690 ",307,"$1,395 ","$7,500 ","$60,585 "
2024 Kia EV9 Light Long Range RWD,"$59,200 ",304,"$1,495 ",$0 ,"$60,695 "
2024 Hyundai Ioniq 5 D100 Platinum Edition AWD,"$59,400 ",260,"$1,395 ",$0 ,"$60,795 "
2024 Cadillac Lyriq Luxury 2 RWD,"$66,990 ",314,"$1,395 ","$7,500 ","$60,885 "
2024 Lexus RZ 300e Luxury FWD,"$59,730 ",224,"$1,175 ",$0 ,"$60,905 "
2024 Ford Mustang Mach-E Rally AWD 91 kWh,"$58,995 ",265,"$1,995 ",$0 ,"$60,990 "
2024 Audi Q4 55 e-tron Premium Plus AWD,"$59,900 ",258,"$1,195 ",$0 ,"$61,095 "
2024 Cadillac Lyriq Sport 2 RWD,"$67,490 ",314,"$1,395 ","$7,500 ","$61,385 "
2024 Volvo EX40 (XC40 Recharge) Ultimate AWD,"$60,550 ",254,"$1,295 ",$0 ,"$61,845 "
2024 Volvo EC40 (C40 Recharge) Ultimate AWD,"$60,550 ",257,"$1,295 ",$0 ,"$61,845 "
2024 Mercedes-Benz EQB 350 4Matic,"$60,850 ",207,"$1,150 ",$0 ,"$62,000 "
2025 Genesis GV60 Advanced AWD,"$60,900 ",N/A,"$1,250 ",$0 ,"$62,150 "
2024 Acura ZDX A-Spec AWD,"$68,500 ",304,"$1,350 ","$7,500 ","$62,350 "
2024 Ford F-150 Lightning Flash 4X4 131 kWh,"$67,995 ",320,"$2,095 ","$7,500 ","$62,590 "
2024 BMW i4 xDrive40 Gran Croupe,"$61,600 ",307,"$1,175 ",$0 ,"$62,775 "
2024 Kia EV6 GT AWD,"$61,600 ",218,"$1,375 ",$0 ,"$62,975 "
2024 Audi Q4 e-tron 55 Prestige AWD,"$62,200 ",258,"$1,195 ",$0 ,"$63,395 "
2025 BMW i4 xDrive40 Gran Croupe,"$62,300 ",287,"$1,175 ",$0 ,"$63,475 "
2024 Audi Q4 Sportback e-tron Premium Plus AWD,"$62,900 ",258,"$1,195 ",$0 ,"$64,095 "
2025 Polestar 4 Long Range Dual Motor AWD,"$62,900 ",270,"$1,400 ",$0 ,"$64,300 "
2024 Cadillac Lyriq Luxury 2 AWD,"$70,490 ",307,"$1,395 ","$7,500 ","$64,385 "
2024 Cadillac Lyriq Luxury 3 RWD,"$70,590 ",314,"$1,395 ","$7,500 ","$64,485 "
2024 Cadillac Lyriq Sport 2 AWD,"$70,990 ",307,"$1,395 ","$7,500 ","$64,885 "
2024 Cadillac Lyriq Sport 3 RWD,"$71,090 ",314,"$1,395 ","$7,500 ","$64,985 "
2024 Kia EV9 Wind AWD,"$63,900 ",280,"$1,495 ",$0 ,"$65,395 "
2024 Lexus RZ 450e Luxury AWD,"$64,430 ",196,"$1,175 ",$0 ,"$65,605 "
2024 Audi Q4 Sportback e-tron Prestige AWD,"$65,200 ",258,"$1,195 ",$0 ,"$66,395 "
2024 Acura ZDX Type S AWD,"$73,500 ",278,"$1,350 ","$7,500 ","$67,350 "
2025 Hyundai Iniq 5 N AWD,"$66,100 ",221,"$1,395 ",$0 ,"$67,495 "
2024 Cadillac Lyriq Luxury 3 AWD,"$74,090 ",307,"$1,395 ","$7,500 ","$67,985 "
2025 BMW i5 eDrive40,"$67,100 ",295,"$1,175 ",$0 ,"$68,275 "
2025 Genesis Electrified GV70 AWD,"$66,950 ",N/A,"$1,350 ",$0 ,"$68,300 "
2024 Acura ZDX Type S AWD Performance Wheels & Tires,"$74,500 ",278,"$1,350 ","$7,500 ","$68,350 "
2024 Cadillac Lyriq Sport 3 AWD,"$74,590 ",307,"$1,395 ","$7,500 ","$68,485 "
2025 Rivian R1T Dual Standard,"$69,900 ",270,$0 ,$0 ,"$69,900 "
2024 BMW i4 M50 Gran Croupe,"$69,700 ",269,"$1,175 ",$0 ,"$70,875 "
