County,Latitude,Longitude,Year,Make,Model,Vehicle Type,CAFV Eligibility,Year_Make_Model,POP_2025,Median Income,MSRP,Dest. Charge,Tax Credit,Effective Price,Electric Range
king,47.60326,-122.02054,2021,BMW,X3,PHEV,Not eligible,2021 BMW X3,2411700,154490,0,0,0,0,17
king,47.75781,-122.3175,2021,BMW,530E,PHEV,Not eligible,2021 BMW 530E,2411700,154490,0,0,0,0,18
clark,45.81539,-122.74595,2021,BMW,745E,PHEV,Not eligible,2021 BMW 745E,542400,108973,0,0,0,0,16
king,47.46233,-122.32863,2023,BRIGHTDROP,ZEVO,BEV,Unknown,2023 BRIGHTDROP ZEVO,2411700,154490,0,0,0,0,0
king,47.46233,-122.32863,2024,BRIGHTDROP,ZEVO,BEV,Unknown,2024 BRIGHTDROP ZEVO,2411700,154490,0,0,0,0,0
king,47.68555,-122.03287,2025,CADILLAC,OPTIQ,BEV,Unknown,2025 CADILLAC OPTIQ,2411700,154490,0,0,0,0,0
pierce,47.21584,-122.41249,2025,CADILLAC,LYRIQ,BEV,Unknown,2025 CADILLAC LYRIQ,959900,111126,0,0,0,0,0
king,47.67887,-122.2066,2024,CADILLAC,LYRIQ,BEV,Unknown,2024 CADILLAC LYRIQ,2411700,154490,0,0,0,0,0
king,47.47532,-122.20489,2026,CADILLAC,VISTIQ,BEV,Unknown,2026 CADILLAC VISTIQ,2411700,154490,0,0,0,0,0
snohomish,47.82557,-122.29245,2026,CADILLAC,LYRIQ,BEV,Unknown,2026 CADILLAC LYRIQ,873800,127475,0,0,0,0,0
king,47.50006,-122.1805,2016,CADILLAC,ELR,PHEV,Eligible,2016 CADILLAC ELR,2411700,154490,0,0,0,0,40
thurston,47.05997,-122.87741,2014,CADILLAC,ELR,PHEV,Eligible,2014 CADILLAC ELR,309100,111908,0,0,0,0,37
kittitas,47.195,-120.93943,2023,CADILLAC,LYRIQ,BEV,Unknown,2023 CADILLAC LYRIQ,48950,99709,0,0,0,0,0
snohomish,47.8526,-121.98087,2020,CHEVROLET,BOLT EV,BEV,Eligible,2020 CHEVROLET BOLT EV,873800,127475,0,0,0,0,259
king,47.67597,-122.38591,2019,CHEVROLET,BOLT EV,BEV,Eligible,2019 CHEVROLET BOLT EV,2411700,154490,0,0,0,0,238
king,47.61001,-122.1872,2019,CHEVROLET,VOLT,PHEV,Eligible,2019 CHEVROLET VOLT,2411700,154490,0,0,0,0,53
king,47.67858,-122.13158,2018,CHEVROLET,VOLT,PHEV,Eligible,2018 CHEVROLET VOLT,2411700,154490,0,0,0,0,53
pierce,47.17303,-122.59802,2018,CHEVROLET,BOLT EV,BEV,Eligible,2018 CHEVROLET BOLT EV,959900,111126,0,0,0,0,238
thurston,47.03954,-122.89165,2024,CHEVROLET,SILVERADO,BEV,Unknown,2024 CHEVROLET SILVERADO,309100,111908,0,0,0,0,0
snohomish,47.87115,-122.1389,2024,CHEVROLET,BLAZER,BEV,Unknown,2024 CHEVROLET BLAZER,873800,127475,0,0,0,0,0
benton,46.29696,-119.33836,2024,CHEVROLET,EQUINOX,BEV,Unknown,2024 CHEVROLET EQUINOX,219625,103290,0,0,0,0,0
pierce,47.13795,-122.2988,2025,CHEVROLET,EQUINOX,BEV,Unknown,2025 CHEVROLET EQUINOX,959900,111126,0,0,0,0,0
snohomish,48.01497,-122.06402,2025,CHEVROLET,BLAZER,BEV,Unknown,2025 CHEVROLET BLAZER,873800,127475,0,0,0,0,0
king,47.54748,-122.00292,2025,CHEVROLET,SILVERADO,BEV,Unknown,2025 CHEVROLET SILVERADO,2411700,154490,0,0,0,0,0
pierce,47.2198,-122.47913,2025,CHEVROLET,BRIGHTDROP,BEV,Unknown,2025 CHEVROLET BRIGHTDROP,959900,111126,0,0,0,0,0
king,47.41185,-122.17743,2026,CHEVROLET,SILVERADO,BEV,Unknown,2026 CHEVROLET SILVERADO,2411700,154490,0,0,0,0,0
jefferson,48.1212,-122.77263,2015,CHEVROLET,VOLT,PHEV,Eligible,2015 CHEVROLET VOLT,33825,98262,0,0,0,0,38
king,47.75892,-122.24369,2015,CHEVROLET,SPARK,BEV,Eligible,2015 CHEVROLET SPARK,2411700,154490,0,0,0,0,82
grant,46.96971,-119.04573,2016,CHEVROLET,SPARK,BEV,Eligible,2016 CHEVROLET SPARK,106250,79271,0,0,0,0,82
king,47.5301,-122.03439,2016,CHEVROLET,VOLT,PHEV,Eligible,2016 CHEVROLET VOLT,2411700,154490,0,0,0,0,53
king,47.54287,-122.35163,2014,CHEVROLET,VOLT,PHEV,Eligible,2014 CHEVROLET VOLT,2411700,154490,0,0,0,0,38
island,48.0399,-122.40618,2014,CHEVROLET,SPARK,BEV,Eligible,2014 CHEVROLET SPARK,88700,105012,0,0,0,0,82
benton,46.27391,-119.27372,2017,CHEVROLET,BOLT EV,BEV,Eligible,2017 CHEVROLET BOLT EV,219625,103290,0,0,0,0,238
benton,46.27391,-119.27372,2017,CHEVROLET,VOLT,PHEV,Eligible,2017 CHEVROLET VOLT,219625,103290,0,0,0,0,53
pierce,47.21584,-122.41249,2013,CHEVROLET,VOLT,PHEV,Eligible,2013 CHEVROLET VOLT,959900,111126,0,0,0,0,38
snohomish,47.83785,-122.27734,2012,CHEVROLET,VOLT,PHEV,Eligible,2012 CHEVROLET VOLT,873800,127475,0,0,0,0,35
king,47.64085,-122.30207,2011,CHEVROLET,VOLT,PHEV,Eligible,2011 CHEVROLET VOLT,2411700,154490,0,0,0,0,35
king,47.43473,-122.29179,2023,CHRYSLER,PACIFICA,PHEV,Eligible,2023 CHRYSLER PACIFICA,2411700,154490,0,0,0,0,32
pierce,47.10424,-122.30855,2025,CHRYSLER,PACIFICA,PHEV,Eligible,2025 CHRYSLER PACIFICA,959900,111126,0,0,0,0,32
king,47.47532,-122.20489,2024,CHRYSLER,PACIFICA,PHEV,Eligible,2024 CHRYSLER PACIFICA,2411700,154490,0,0,0,0,32
snohomish,47.89908,-122.29196,2018,CHRYSLER,PACIFICA,PHEV,Eligible,2018 CHRYSLER PACIFICA,873800,127475,0,0,0,0,33
king,47.68555,-122.03287,2020,CHRYSLER,PACIFICA,PHEV,Eligible,2020 CHRYSLER PACIFICA,2411700,154490,0,0,0,0,32
thurston,47.04437,-122.82324,2021,CHRYSLER,PACIFICA,PHEV,Eligible,2021 CHRYSLER PACIFICA,309100,111908,0,0,0,0,32
clallam,48.11892,-123.43112,2017,CHRYSLER,PACIFICA,PHEV,Eligible,2017 CHRYSLER PACIFICA,78650,84546,0,0,0,0,33
snohomish,48.19471,-122.1264,2022,CHRYSLER,PACIFICA,PHEV,Eligible,2022 CHRYSLER PACIFICA,873800,127475,0,0,0,0,32
king,47.43473,-122.29179,2024,DODGE,HORNET,PHEV,Eligible,2024 DODGE HORNET,2411700,154490,0,0,0,0,32
spokane,47.65706,-117.19631,2024,DODGE,CHARGER,BEV,Unknown,2024 DODGE CHARGER,566000,94226,0,0,0,0,0
clark,45.63248,-122.67156,2025,DODGE,CHARGER,BEV,Unknown,2025 DODGE CHARGER,542400,108973,0,0,0,0,0
king,47.30893,-122.00143,2017,FIAT,500,BEV,Eligible,2017 FIAT 500,2411700,154490,0,0,0,0,84
spokane,47.48928,-117.57445,2016,FIAT,500,BEV,Eligible,2016 FIAT 500,566000,94226,0,0,0,0,84
pierce,47.23451,-122.53166,2024,FIAT,500E,BEV,Unknown,2024 FIAT 500E,959900,111126,0,0,0,0,0
king,47.57894,-122.41067,2019,FIAT,500,BEV,Eligible,2019 FIAT 500,2411700,154490,0,0,0,0,84
snohomish,47.8526,-121.98087,2018,FIAT,500,BEV,Eligible,2018 FIAT 500,873800,127475,0,0,0,0,84
king,47.50006,-122.1805,2014,FIAT,500,BEV,Eligible,2014 FIAT 500,2411700,154490,0,0,0,0,87
king,47.49461,-122.23825,2015,FIAT,500,BEV,Eligible,2015 FIAT 500,2411700,154490,0,0,0,0,87
king,47.61001,-122.1872,2013,FIAT,500,BEV,Eligible,2013 FIAT 500,2411700,154490,0,0,0,0,87
king,47.67596,-122.35436,2023,FISKER,OCEAN,BEV,Unknown,2023 FISKER OCEAN,2411700,154490,0,0,0,0,0
king,47.54701,-122.36893,2023,FORD,MUSTANG MACH-E,BEV,Unknown,2023 FORD MUSTANG MACH-E,2411700,154490,0,0,0,0,0
king,47.54701,-122.36893,2023,FORD,F-150,BEV,Unknown,2023 FORD F-150,2411700,154490,0,0,0,0,0
king,47.61578,-122.34468,2023,FORD,TRANSIT,BEV,Unknown,2023 FORD TRANSIT,2411700,154490,0,0,0,0,0
king,47.33778,-122.09124,2023,FORD,ESCAPE,PHEV,Eligible,2023 FORD ESCAPE,2411700,154490,0,0,0,0,37
king,47.68156,-122.31676,2025,FORD,MUSTANG MACH-E,BEV,Unknown,2025 FORD MUSTANG MACH-E,2411700,154490,0,0,0,0,0
snohomish,47.83448,-122.21061,2024,FORD,F-150,BEV,Unknown,2024 FORD F-150,873800,127475,0,0,0,0,0
grant,47.31909,-119.55096,2024,FORD,ESCAPE,PHEV,Eligible,2024 FORD ESCAPE,106250,79271,0,0,0,0,37
king,47.60357,-122.32945,2024,FORD,TRANSIT,BEV,Unknown,2024 FORD TRANSIT,2411700,154490,0,0,0,0,0
king,47.75892,-122.24369,2025,FORD,F-150,BEV,Unknown,2025 FORD F-150,2411700,154490,0,0,0,0,0
thurston,47.04437,-122.82324,2025,FORD,TRANSIT,BEV,Unknown,2025 FORD TRANSIT,309100,111908,0,0,0,0,0
snohomish,47.89251,-122.18637,2025,FORD,ESCAPE,PHEV,Eligible,2025 FORD ESCAPE,873800,127475,0,0,0,0,37
king,47.63131,-122.11867,2018,FORD,FUSION,PHEV,Not eligible,2018 FORD FUSION,2411700,154490,0,0,0,0,21
pierce,47.06512,-122.41046,2016,FORD,FUSION,PHEV,Not eligible,2016 FORD FUSION,959900,111126,0,0,0,0,19
kitsap,47.73689,-122.64681,2016,FORD,C-MAX,PHEV,Not eligible,2016 FORD C-MAX,288900,114590,0,0,0,0,19
king,47.66127,-122.31307,2016,FORD,FOCUS,BEV,Eligible,2016 FORD FOCUS,2411700,154490,0,0,0,0,76
pierce,47.15258,-122.43828,2015,FORD,C-MAX,PHEV,Not eligible,2015 FORD C-MAX,959900,111126,0,0,0,0,19
king,47.60357,-122.32945,2015,FORD,FUSION,PHEV,Not eligible,2015 FORD FUSION,2411700,154490,0,0,0,0,19
king,47.3074,-122.23035,2015,FORD,FOCUS,BEV,Eligible,2015 FORD FOCUS,2411700,154490,0,0,0,0,76
king,47.33778,-122.09124,2017,FORD,FUSION,PHEV,Not eligible,2017 FORD FUSION,2411700,154490,0,0,0,0,21
king,47.72201,-122.22901,2017,FORD,FOCUS,BEV,Eligible,2017 FORD FOCUS,2411700,154490,0,0,0,0,100
king,47.72201,-122.22901,2017,FORD,C-MAX,PHEV,Not eligible,2017 FORD C-MAX,2411700,154490,0,0,0,0,20
pierce,47.09583,-122.62954,2013,FORD,C-MAX,PHEV,Not eligible,2013 FORD C-MAX,959900,111126,0,0,0,0,19
king,47.57874,-122.30866,2013,FORD,FUSION,PHEV,Not eligible,2013 FORD FUSION,2411700,154490,0,0,0,0,19
snohomish,47.87115,-122.1389,2013,FORD,FOCUS,BEV,Eligible,2013 FORD FOCUS,873800,127475,0,0,0,0,76
thurston,47.05997,-122.87741,2014,FORD,FOCUS,BEV,Eligible,2014 FORD FOCUS,309100,111908,0,0,0,0,76
spokane,47.64046,-117.64458,2014,FORD,FUSION,PHEV,Not eligible,2014 FORD FUSION,566000,94226,0,0,0,0,19
pierce,47.13959,-122.27575,2014,FORD,C-MAX,PHEV,Not eligible,2014 FORD C-MAX,959900,111126,0,0,0,0,19
whatcom,48.92009,-122.34527,2000,FORD,RANGER,BEV,Eligible,2000 FORD RANGER,240500,102596,0,0,0,0,58
clark,45.70954,-122.70303,2012,FORD,FOCUS,BEV,Eligible,2012 FORD FOCUS,542400,108973,0,0,0,0,76
king,47.43473,-122.29179,2022,FORD,TRANSIT,BEV,Unknown,2022 FORD TRANSIT,2411700,154490,0,0,0,0,0
whitman,46.73015,-117.18147,2022,FORD,ESCAPE,PHEV,Eligible,2022 FORD ESCAPE,49450,91032,0,0,0,0,38
king,47.67887,-122.2066,2022,FORD,MUSTANG MACH-E,BEV,Unknown,2022 FORD MUSTANG MACH-E,2411700,154490,0,0,0,0,0
snohomish,47.83448,-122.21061,2022,FORD,F-150,BEV,Unknown,2022 FORD F-150,873800,127475,0,0,0,0,0
kitsap,47.57192,-122.65223,2020,FORD,FUSION,PHEV,Not eligible,2020 FORD FUSION,288900,114590,0,0,0,0,26
thurston,47.05997,-122.87741,2021,FORD,ESCAPE,PHEV,Eligible,2021 FORD ESCAPE,309100,111908,0,0,0,0,38
king,47.63433,-122.32427,2019,FORD,FUSION,PHEV,Not eligible,2019 FORD FUSION,2411700,154490,0,0,0,0,26
clark,45.78092,-122.5331,2018,FORD,FOCUS,BEV,Eligible,2018 FORD FOCUS,542400,108973,0,0,0,0,100
king,47.55115,-122.2668,2024,GENESIS,GV60,BEV,Unknown,2024 GENESIS GV60,2411700,154490,0,0,0,0,0
pierce,47.26541,-122.45782,2024,GENESIS,GV70,BEV,Unknown,2024 GENESIS GV70,959900,111126,0,0,0,0,0
yakima,46.40199,-120.26226,2024,GENESIS,G80,BEV,Unknown,2024 GENESIS G80,264650,76662,0,0,0,0,0
kitsap,47.62732,-122.521,2025,GENESIS,GV70,BEV,Unknown,2025 GENESIS GV70,288900,114590,0,0,0,0,0
king,47.70044,-122.38418,2025,GENESIS,GV60,BEV,Unknown,2025 GENESIS GV60,2411700,154490,0,0,0,0,0
clark,45.70954,-122.70303,2026,GENESIS,GV70,BEV,Unknown,2026 GENESIS GV70,542400,108973,0,0,0,0,0
kitsap,47.62732,-122.521,2023,GENESIS,GV60,BEV,Unknown,2023 GENESIS GV60,288900,114590,0,0,0,0,0
king,47.75892,-122.24369,2023,GENESIS,GV70,BEV,Unknown,2023 GENESIS GV70,2411700,154490,0,0,0,0,0
king,47.43473,-122.29179,2023,GENESIS,G80,BEV,Unknown,2023 GENESIS G80,2411700,154490,0,0,0,0,0
snohomish,48.01497,-122.06402,2025,GMC,HUMMER EV SUV,BEV,Unknown,2025 GMC HUMMER EV SUV,873800,127475,0,0,0,0,0
king,47.61001,-122.1872,2025,GMC,SIERRA,BEV,Unknown,2025 GMC SIERRA,2411700,154490,0,0,0,0,0
snohomish,47.89251,-122.18637,2025,GMC,HUMMER EV PICKUP,BEV,Unknown,2025 GMC HUMMER EV PICKUP,873800,127475,0,0,0,0,0
snohomish,47.89251,-122.18637,2024,GMC,HUMMER EV SUV,BEV,Unknown,2024 GMC HUMMER EV SUV,873800,127475,0,0,0,0,0
clark,45.67871,-122.64443,2024,GMC,HUMMER EV PICKUP,BEV,Unknown,2024 GMC HUMMER EV PICKUP,542400,108973,0,0,0,0,0
