Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2024 Cadillac Lyriq Sport 3 RWD,"$71,090 ","$1,395 ","$7,500 ","$64,985 ",314
2024 Kia EV9 Wind AWD,"$63,900 ","$1,495 ",$0 ,"$65,395 ",280
2024 Lexus RZ 450e Luxury AWD,"$64,430 ","$1,175 ",$0 ,"$65,605 ",196
2024 Audi Q4 Sportback e-tron Prestige AWD,"$65,200 ","$1,195 ",$0 ,"$66,395 ",258
2024 Acura ZDX Type S AWD,"$73,500 ","$1,350 ","$7,500 ","$67,350 ",278
2025 Hyundai Iniq 5 N AWD,"$66,100 ","$1,395 ",$0 ,"$67,495 ",221
2024 Cadillac Lyriq Luxury 3 AWD,"$74,090 ","$1,395 ","$7,500 ","$67,985 ",307
2025 BMW i5 eDrive40,"$67,100 ","$1,175 ",$0 ,"$68,275 ",295
2025 Genesis Electrified GV70 AWD,"$66,950 ","$1,350 ",$0 ,"$68,300 ",N/A
2024 Acura ZDX Type S AWD Performance Wheels & Tires,"$74,500 ","$1,350 ","$7,500 ","$68,350 ",278
2024 Cadillac Lyriq Sport 3 AWD,"$74,590 ","$1,395 ","$7,500 ","$68,485 ",307
2025 Rivian R1T Dual Standard,"$69,900 ",$0 ,$0 ,"$69,900 ",270
2024 BMW i4 M50 Gran Croupe,"$69,700 ","$1,175 ",$0 ,"$70,875 ",269
2025 Genesis GV60 Performance AWD,"$69,900 ","$1,250 ",$0 ,"$71,150 ",N/A
2025 BMW i5 xDrive40,"$70,100 ","$1,175 ",$0 ,"$71,275 ",266
2024 Kia EV9 Land AWD,"$69,900 ","$1,495 ",$0 ,"$71,395 ",280
2025 Lucid Air Pure,"$69,900 ","$1,500 ",$0 ,"$71,400 ",420
2024 Ford F-150 Lightning Lariat 4X4 131 kWh,"$76,995 ","$2,095 ","$7,500 ","$71,590 ",320
2025 BMW i4 M50 Gran Coupe,"$70,700 ","$1,175 ",$0 ,"$71,875 ",267
2025 Rivian R1T Dual Large,"$76,900 ",$0 ,"$3,750 ","$73,150 ",330
2024 VinFast VF9 Plus,"$73,800 ",$0 ,$0 ,"$73,800 ",291
2024 Jaguar I-Pace R-Dynamic HSE EV400 20-inch,"$72,500 ","$1,375 ",$0 ,"$73,875 ",246
2024 Tesla Model X AWD,"$79,990 ","$1,390 ","$7,500 ","$73,880 ",335
2025 Polestar 3 Long Range Dual Motor AWD,"$73,400 ","$1,400 ",$0 ,"$74,800 ",315
2024 Chevrolet Silverado EV 3WT,"$72,905 ","$1,995 ",$0 ,"$74,900 ",393
2024 Kia EV9 GT-Line AWD,"$73,900 ","$1,495 ",$0 ,"$75,395 ",270
2024 Audi Q8 e-tron Premium AWD,"$74,400 ","$1,195 ",$0 ,"$75,595 ",285
2024 Genesis Electrified G80 Advanced AWD,"$74,375 ","$1,250 ",$0 ,"$75,625 ",282
2024 Jaguar I-Pace R-Dynamic HSE EV400 22-inch,"$74,500 ","$1,375 ",$0 ,"$75,875 ",217
2025 Rivian R1S Dual Standard,"$75,900 ",$0 ,$0 ,"$75,900 ",270
2024 Mercedes-Benz EQE 350+ Sedan,"$74,900 ","$1,150 ",$0 ,"$76,050 ",298
2024 Tesla Model S AWD,"$74,990 ","$1,390 ",$0 ,"$76,380 ",402
2024 Audi Q8 Sportback e-tron Premium Ultra AWD,"$77,800 ","$1,195 ",$0 ,"$78,995 ",300
2024 Audi Q8 Sportback e-tron Premium AWD,"$77,800 ","$1,195 ",$0 ,"$78,995 ",296
2024 Mercedes-Benz EQE 350 4Matic Sedan,"$77,900 ","$1,150 ",$0 ,"$79,050 ",280
2024 Mercedes-Benz EQE 350+ SUV,"$77,900 ","$1,150 ",$0 ,"$79,050 ",307
2024 Mercedes-Benz EQE 350 4Matic SUV,"$77,900 ","$1,150 ",$0 ,"$79,050 ",265
2024 Chevrolet Silverado EV 4WT,"$77,905 ","$1,995 ",$0 ,"$79,900 ",450
2024 Audi Q8 e-tron Premium Plus AWD,"$78,800 ","$1,195 ",$0 ,"$79,995 ",285
2025 Lucid Air Touring,"$78,900 ","$1,500 ",$0 ,"$80,400 ",406
2025 Polestar 3 Long Range Dual Motor Performance Pack AWD,"$79,400 ","$1,400 ",$0 ,"$80,800 ",279
2025 Volvo EX90 Plus Twin Motor AWD,"$79,995 ","$1,295 ",$0 ,"$81,290 ",296
2025 Rivian R1S Dual Large,"$82,900 ",$0 ,$0 ,"$82,900 ",330
2024 Audi Q8 Sportback e-tron Premium Plus AWD,"$82,200 ","$1,195 ",$0 ,"$83,395 ",296
2025 Rivian R1T Dual Max,"$83,900 ",$0 ,$0 ,"$83,900 ",420
2025 BMW i5 M60,"$84,100 ","$1,175 ",$0 ,"$85,275 ",253
2025 Volvo EX90 Ultra Twin Motor AWD,"$84,345 ","$1,295 ",$0 ,"$85,640 ",308
2024 Audi Q8 e-tron Prestige AWD,"$84,800 ","$1,195 ",$0 ,"$85,995 ",285
2025 Volvo EX90 Plus Twin Motor Performance AWD,"$84,995 ","$1,295 ",$0 ,"$86,290 ",296
2024 Mercedes-Benz EQE 500 4Matic Sedan,"$85,900 ","$1,150 ",$0 ,"$87,050 ",298
2024 Ford F-150 Lightning Platinum 4X4 131 kWh,"$84,995 ","$2,095 ",$0 ,"$87,090 ",300
2025 BMW iX xDrive50,"$87,250 ","$1,175 ",$0 ,"$88,425 ",309
2024 Audi Q8 e-tron Launch Edition AWD,"$87,550 ","$1,195 ",$0 ,"$88,745 ",285
2024 Audi Q8 Sportback e-tron Prestige AWD,"$88,200 ","$1,195 ",$0 ,"$89,395 ",296
2025 Rivian R1S Dual Max,"$89,900 ",$0 ,$0 ,"$89,900 ",410
2025 Volvo EX90 Ultra Twin Motor Performance AWD,"$89,345 ","$1,295 ",$0 ,"$90,640 ",308
2024 Mercedes-Benz EQE 500 4Matic SUV,"$89,500 ","$1,150 ",$0 ,"$90,650 ",282
2024 Audi SQ8 e-tron Premium Plus AWD,"$89,800 ","$1,195 ",$0 ,"$90,995 ",253
2024 Tesla Model S Plaid,"$89,990 ","$1,390 ",$0 ,"$91,380 ",359
2024 Audi Q8 Sportback e-tron Launch Edition AWD,"$91,950 ","$1,195 ",$0 ,"$93,145 ",296
2024 Audi SQ8 Sportback e-tron Premium Plus AWD,"$92,600 ","$1,195 ",$0 ,"$93,795 ",253
2024 Tesla Model X Plaid,"$94,990 ","$1,390 ",$0 ,"$96,380 ",326
2024 Chevrolet Silverado EV First Edition 4WD,"$94,500 ","$1,995 ",$0 ,"$96,495 ",440
2024 Audi SQ8 e-tron Prestige AWD,"$95,800 ","$1,195 ",$0 ,"$96,995 ",253
2025 GMC Hummer EV Pickup 2X eAW,"$96,550 ","$2,295 ",$0 ,"$98,845 ",311
2025 GMC Hummer EV SUV 2X eAWD,"$96,550 ","$2,295 ",$0 ,"$98,845 ",303
2025 GMC Sierra EV Denali Edition 1,"$97,500 ","$1,995 ",$0 ,"$99,495 ",440
2024 Audi SQ8 Sportback e-tron Prestige AWD,"$98,600 ","$1,195 ",$0 ,"$99,795 ",253
2025 Rivian R1T Tri Max,"$99,900 ",$0 ,$0 ,"$99,900 ",371
2025 Porsche Taycan,"$99,400 ","$1,995 ",$0 ,"$101,395 ",274
2024 Tesla Cybertruck AWD Foundation Series,"$99,990 ","$1,995 ",$0 ,"$101,985 ",318
2024 Mercedes-Benz EQS 450+ Sedan,"$104,400 ","$1,150 ",$0 ,"$105,550 ",352
2024 Mercedes-Benz EQS 450+ SUV,"$104,400 ","$1,150 ",$0 ,"$105,550 ",339
2025 Rivian R1S Tri Max,"$105,900 ",$0 ,$0 ,"$105,900 ",371
2025 BMW i7 eDrive50,"$105,700 ","$1,175 ",$0 ,"$106,875 ",314
2025 GMC Hummer EV Pickup 3X eAWD,"$104,650 ","$2,295 ",$0 ,"$106,945 ",381
2025 GMC Hummer EV SUV 3X eAWD,"$104,650 ","$2,295 ",$0 ,"$106,945 ",314
2024 Audi e-tron GT Premium Plus AWD,"$106,500 ","$1,495 ",$0 ,"$107,995 ",249
2024 Mercedes-AMG EQE 4Matic+ Sedan,"$106,900 ","$1,150 ",$0 ,"$108,050 ",230
