Model,Base Price,Dest. Charge,Tax Credit,Effective Price,EPA range (miles)
2024 Kia EV6 Wind AWD,"$52,600 ","$1,375 ",$0 ,"$53,975 ",282.0
2024 Mercedes-Benz EQB 250+,"$53,050 ","$1,150 ",$0 ,"$54,200 ",251.0
2024 Kia EV6 GT-Line RWD,"$52,900 ","$1,375 ",$0 ,"$54,275 ",310.0
2024 Hyundai Ioniq 6 Limited AWD,"$53,450 ","$1,150 ",$0 ,"$54,600 ",270.0
2024 Hyundai Ioniq 5 Limited RWD,"$53,500 ","$1,395 ",$0 ,"$54,895 ",303.0
2024 Volvo EC40 (C40 Recharge) Core RWD,"$53,600 ","$1,295 ",$0 ,"$54,895 ",297.0
2024 Lexus RZ 300e Premium FWD,"$54,000 ","$1,175 ",$0 ,"$55,175 ",266.0
2024 Nissan Ariya Platinum+ e-4ORCE AWD,"$54,190 ","$1,140 ",$0 ,"$55,330 ",267.0
2024 Nissan Ariya Platinum+ e-4ORCE AWD 20-inch,"$54,190 ","$1,140 ",$0 ,"$55,330 ",257.0
2024 Volvo EX40 (XC40 Recharge) Core AWD,"$54,200 ","$1,295 ",$0 ,"$55,495 ",254.0
2024 Cadillac Lyriq Tech AWD,"$62,090 ","$1,395 ","$7,500 ","$55,985 ",307.0
2025 Poelstar 4 Long Range Single Motor RWD,"$54,900 ","$1,400 ",$0 ,"$56,300 ",300.0
2024 Audi Q4 55 e-tron Premium AWD,"$55,200 ","$1,195 ",$0 ,"$56,395 ",258.0
2024 Kia EV9 Light RWD,"$54,900 ","$1,495 ",$0 ,"$56,395 ",230.0
2024 Cadillac Lyriq Luxury 1 RWD,"$62,690 ","$1,395 ","$7,500 ","$56,585 ",314.0
2024 Volvo EC40 (C40 Recharge) Core AWD,"$55,350 ","$1,295 ",$0 ,"$56,645 ",257.0
2024 Volvo EX40 (XC40 Recharge) Plus RWD,"$55,400 ","$1,295 ",$0 ,"$56,695 ",293.0
2024 Volvo EC40 (C40 Recharge) Plus RWD,"$55,400 ","$1,295 ",$0 ,"$56,695 ",297.0
2025 Polestar 2 Long Range Dual Motor AWD,"$55,300 ","$1,400 ",$0 ,"$56,700 ",276.0
2024 Ford Mustang Mach-E GT AWD 91 kWh,"$54,995 ","$1,995 ",$0 ,"$56,990 ",280.0
2024 Cadillac Lyriq Sport 1 RWD,"$63,190 ","$1,395 ","$7,500 ","$57,085 ",314.0
2025 Genesis GV60 Standard RWD Plus,"$55,850 ","$1,250 ",$0 ,"$57,100 ",264.0
2024 F-150 Lightning XLT 4X4 98 kWh,"$62,995 ","$2,095 ","$7,500 ","$57,590 ",240.0
